NCBITaxon:1003707	Cheilopogon nigricans	http://aims.fao.org/aos/agrovoc/c_41419	Cheilopogon nigricans	organisms	
NCBITaxon:1003710	Chrysoblephus gibbiceps	http://aims.fao.org/aos/agrovoc/c_43301	Chrysoblephus gibbiceps	organisms	
NCBITaxon:1003711	Cirrhigaleus asper	http://aims.fao.org/aos/agrovoc/c_38347	Cirrhigaleus asper	organisms	
NCBITaxon:1003719	Cubiceps capensis	http://aims.fao.org/aos/agrovoc/c_44905	Cubiceps capensis	organisms	
NCBITaxon:1003720	Cyclichthys spilostylus	http://aims.fao.org/aos/agrovoc/c_45892	Cyclichthys spilostylus	organisms	
NCBITaxon:1003722	Cynoglossus lida	http://aims.fao.org/aos/agrovoc/c_45739	Cynoglossus lida	organisms	
NCBITaxon:1003726	Drepane longimana	http://aims.fao.org/aos/agrovoc/c_43442	Drepane longimana	organisms	
NCBITaxon:1003729	Etelis coruscans	http://aims.fao.org/aos/agrovoc/c_42925	Etelis coruscans	organisms	
NCBITaxon:1003737	Halaelurus natalensis	http://aims.fao.org/aos/agrovoc/c_38202	Halaelurus natalensis	organisms	
NCBITaxon:1003742	Holohalaelurus regani	http://aims.fao.org/aos/agrovoc/c_38154	Holohalaelurus regani	organisms	
NCBITaxon:1003743	Hydrolagus africanus	http://aims.fao.org/aos/agrovoc/c_38913	Hydrolagus africanus	organisms	
NCBITaxon:1003753	Lithognathus aureti	http://aims.fao.org/aos/agrovoc/c_43309	Lithognathus aureti	organisms	
NCBITaxon:1003755	Liza tricuspidens	http://aims.fao.org/aos/agrovoc/c_42232	Liza tricuspidens	organisms	
NCBITaxon:1003758	Mustelus palumbes	http://aims.fao.org/aos/agrovoc/c_38304	Mustelus palumbes	organisms	
NCBITaxon:1003762	Narke capensis	http://aims.fao.org/aos/agrovoc/c_38896	Narke capensis	organisms	
NCBITaxon:1003764	Notacanthus sexspinis	http://aims.fao.org/aos/agrovoc/c_49555	Notacanthus sexspinis	organisms	
NCBITaxon:1003771	Paracaesio xanthura	http://aims.fao.org/aos/agrovoc/c_42922	Paracaesio xanthura	organisms	
NCBITaxon:1003775	Parupeneus macronemus	http://aims.fao.org/aos/agrovoc/c_43357	Parupeneus macronema	organisms	
NCBITaxon:1003777	Pentaceros capensis	http://aims.fao.org/aos/agrovoc/c_43484	Pentaceros capensis	organisms	
NCBITaxon:1003779	Plagiogeneion rubiginosum	http://aims.fao.org/aos/agrovoc/c_42869	Plagiogeneion rubiginosum	organisms	
NCBITaxon:1003783	Plotosus nkunga	http://aims.fao.org/aos/agrovoc/c_40713	Plotosus nkunga	organisms	
NCBITaxon:1003785	Polydactylus malagasyensis	http://aims.fao.org/aos/agrovoc/c_44016	Polydactylus malagasyensis	organisms	
NCBITaxon:1003788	Polysteganus coeruleopunctatus	http://aims.fao.org/aos/agrovoc/c_43319	Polysteganus coeruleopunctatus	organisms	
NCBITaxon:1003789	Polysteganus undulosus	http://aims.fao.org/aos/agrovoc/c_43318	Polysteganus undulosus	organisms	
NCBITaxon:1003790	Pomadasys commersonnii	http://aims.fao.org/aos/agrovoc/c_43026	Pomadasys commersonnii	organisms	
NCBITaxon:1003794	Pseudanthias fasciatus	http://aims.fao.org/aos/agrovoc/c_42452	Pseudanthias fasciata	organisms	
NCBITaxon:1003795	Rajella dissimilis	http://aims.fao.org/aos/agrovoc/c_38569	Raja dissimilis	organisms	
NCBITaxon:1003796	Rhinobatos annulatus	http://aims.fao.org/aos/agrovoc/c_38468	Rhinobatos annulatus	organisms	
NCBITaxon:1003798	Scolopsis bimaculata	http://aims.fao.org/aos/agrovoc/c_42964	Scolopsis bimaculatus	organisms	
NCBITaxon:1003799	Scomberomorus plurilineatus	http://aims.fao.org/aos/agrovoc/c_44785	Scomberomorus plurilineatus	organisms	
NCBITaxon:1003802	Scyliorhinus capensis	http://aims.fao.org/aos/agrovoc/c_38131	Scyliorhinus capensis	organisms	
NCBITaxon:1003804	Pegusa nasuta	http://aims.fao.org/aos/agrovoc/c_45680	Solea bleekeri	organisms	
NCBITaxon:1003804	Pegusa nasuta	http://aims.fao.org/aos/agrovoc/c_45682	Solea nasuta	organisms	
NCBITaxon:1003805	Sphyraena acutipinnis	http://aims.fao.org/aos/agrovoc/c_44958	Sphyraena acutipinnis	organisms	
NCBITaxon:1003807	Spondyliosoma emarginatum	http://aims.fao.org/aos/agrovoc/c_43273	Spondyliosoma emarginatum	organisms	
NCBITaxon:1003809	Symbolophorus barnardi	http://aims.fao.org/aos/agrovoc/c_39765	Symbolophorus barnardi	organisms	
NCBITaxon:1003815	Thryssa vitrirostris	http://aims.fao.org/aos/agrovoc/c_39217	Thryssa vitrirostris	organisms	
NCBITaxon:1003816	Torpedo fuscomaculata	http://aims.fao.org/aos/agrovoc/c_38862	Torpedo fuscomaculata	organisms	
NCBITaxon:1003817	Trachinotus africanus	http://aims.fao.org/aos/agrovoc/c_42753	Trachinotus africanus	organisms	
NCBITaxon:1003818	Trachinotus botla	http://aims.fao.org/aos/agrovoc/c_42756	Trachinotus botla	organisms	
NCBITaxon:1003939	Atrobucca nibe	http://aims.fao.org/aos/agrovoc/c_43195	Atrobucca nibe	organisms	
