PO:0009002	plant cell	http://aims.fao.org/aos/agrovoc/c_1414	cell structure
PO:0009005	root	http://aims.fao.org/aos/agrovoc/c_6649	rooting
PO:0009005	root	http://aims.fao.org/aos/agrovoc/c_6651	roots
PO:0009006	shoot system	http://aims.fao.org/aos/agrovoc/c_14261	shoots
PO:0009007	portion of plant tissue	http://aims.fao.org/aos/agrovoc/c_49880	tissue
PO:0009008	plant organ	http://aims.fao.org/aos/agrovoc/c_330894	organization
PO:0009008	plant organ	http://aims.fao.org/aos/agrovoc/c_37968	organizations
PO:0009008	plant organ	http://aims.fao.org/aos/agrovoc/c_49904	organisms
PO:0009008	plant organ	http://aims.fao.org/aos/agrovoc/c_50296	regional organizations
PO:0009009	plant embryo	http://aims.fao.org/aos/agrovoc/c_2543	plant embryos
PO:0009010	seed	http://aims.fao.org/aos/agrovoc/c_6927	seed
PO:0009011	plant structure	http://aims.fao.org/aos/agrovoc/c_13439	plant structure
PO:0009012	plant structure development stage	http://aims.fao.org/aos/agrovoc/c_5959	plant developmental stages
PO:0009013	portion of meristem tissue	http://aims.fao.org/aos/agrovoc/c_4754	meristems
PO:0009015	portion of vascular tissue	http://aims.fao.org/aos/agrovoc/c_8161	vascular tissues
PO:0009029	stamen	http://aims.fao.org/aos/agrovoc/c_14560	stamens
PO:0009034	flower bract	http://aims.fao.org/aos/agrovoc/c_1491	chaff
PO:0009035	nectary	http://aims.fao.org/aos/agrovoc/c_5099	nectaries
PO:0009039	glume	http://aims.fao.org/aos/agrovoc/c_3289	glumes
PO:0009046	flower	http://aims.fao.org/aos/agrovoc/c_2992	flowering
PO:0009046	flower	http://aims.fao.org/aos/agrovoc/c_2993	flowers
PO:0009047	stem	http://aims.fao.org/aos/agrovoc/c_7390	stems
PO:0009049	inflorescence	http://aims.fao.org/aos/agrovoc/c_27966	capitulum
PO:0009049	inflorescence	http://aims.fao.org/aos/agrovoc/c_3509	head
PO:0009051	spikelet	http://aims.fao.org/aos/agrovoc/c_7301	spikelets
PO:0009054	inflorescence bract	http://aims.fao.org/aos/agrovoc/c_3699	husking
PO:0009054	inflorescence bract	http://aims.fao.org/aos/agrovoc/c_37743	husks
PO:0009055	bract	http://aims.fao.org/aos/agrovoc/c_128d5eb6	scale
PO:0009058	perianth	http://aims.fao.org/aos/agrovoc/c_5701	perianth
PO:0009059	corolla	http://aims.fao.org/aos/agrovoc/c_1901	corolla
PO:0009060	calyx	http://aims.fao.org/aos/agrovoc/c_1221	calyx
PO:0009061	androecium	http://aims.fao.org/aos/agrovoc/c_406	androecium
PO:0009062	gynoecium	http://aims.fao.org/aos/agrovoc/c_3451	gynoecium
PO:0009066	anther	http://aims.fao.org/aos/agrovoc/c_478	anthers
PO:0009072	plant ovary	http://aims.fao.org/aos/agrovoc/c_27985	plant ovaries
PO:0009073	stigma	http://aims.fao.org/aos/agrovoc/c_14591	stigma
PO:0009074	style	http://aims.fao.org/aos/agrovoc/c_7063	silk
PO:0009084	pericarp	http://aims.fao.org/aos/agrovoc/c_25199	pericarp
PO:0009085	exocarp	http://aims.fao.org/aos/agrovoc/c_27974	exocarp
PO:0009086	endocarp	http://aims.fao.org/aos/agrovoc/c_27972	endocarp
PO:0009087	mesocarp	http://aims.fao.org/aos/agrovoc/c_27979	mesocarp
PO:0009088	seed coat	http://aims.fao.org/aos/agrovoc/c_6936	seed pelleting
PO:0009089	endosperm	http://aims.fao.org/aos/agrovoc/c_247	albumins
PO:0009089	endosperm	http://aims.fao.org/aos/agrovoc/c_2561	endosperm
PO:0020021	integument	http://aims.fao.org/aos/agrovoc/c_3904	integument
PO:0020030	cotyledon	http://aims.fao.org/aos/agrovoc/c_1930	cotyledons
PO:0020031	radicle	http://aims.fao.org/aos/agrovoc/c_6423	radicle
PO:0020032	plumule	http://aims.fao.org/aos/agrovoc/c_6029	plumule
PO:0020033	coleoptile	http://aims.fao.org/aos/agrovoc/c_24007	coleoptiles
PO:0020035	epicotyl	http://aims.fao.org/aos/agrovoc/c_2613	epicotyls
PO:0020038	petiole	http://aims.fao.org/aos/agrovoc/c_5744	petioles
PO:0020057	testa	http://aims.fao.org/aos/agrovoc/c_7681	testa
