TO:0000816	inflorescence bract morphology trait	http://aims.fao.org/aos/agrovoc/c_37743	husks	substances	
TO:0000852	fruit set	http://aims.fao.org/aos/agrovoc/c_15971	fruiting	stages	
TO:0001017	water use efficiency	http://aims.fao.org/aos/agrovoc/c_36790	water use efficiency	properties	
TO:0001026	respiration rate	http://aims.fao.org/aos/agrovoc/c_36749	respiration rate	measure	
TO:0002611	homeotic development trait	http://aims.fao.org/aos/agrovoc/c_27544	homeotic mutation	phenomena	
TO:0002647	starch digestibility	http://aims.fao.org/aos/agrovoc/c_2270	digestible starch	properties	
TO:0002650	phototropism	http://aims.fao.org/aos/agrovoc/c_13320	phototropism	phenomena	
TO:0002657	oxidative stress	http://aims.fao.org/aos/agrovoc/c_37481	oxidative stress	phenomena	,state	
TO:0002681	leaf curling	http://aims.fao.org/aos/agrovoc/c_4237	leaf curls	phenomena	
TO:0002756	shoot habit	http://aims.fao.org/aos/agrovoc/c_5969	plant habit	properties	
TO:0006001	salt tolerance	http://aims.fao.org/aos/agrovoc/c_24078	salt tolerance	properties	
TO:0006036	stem elongation	http://aims.fao.org/aos/agrovoc/c_7387	stem elongation	stages	
TO:0012001	leaf area index	http://aims.fao.org/aos/agrovoc/c_35196	Leaf Area Index	measure	
TO:0020051	barley leaf scald disease resistance	http://aims.fao.org/aos/agrovoc/c_24895	scald	phenomena	
TO:0020067	barley yellow dwarf virus disease resistance	http://aims.fao.org/aos/agrovoc/c_15942	barley yellow dwarf luteovirus	organisms	,substances	
TO:0020093	nitrogen content	http://aims.fao.org/aos/agrovoc/c_5193	nitrogen content	properties	
