BFO:0000003	occurrent	PATO:0000057	occurrence
CHEBI:30879	alcohol	http://aims.fao.org/aos/agrovoc/c_249	alcohols
CHEBI:30879	alcohol	http://aims.fao.org/aos/agrovoc/c_29199	alcoholism
CHEBI:31002	montanate	ENVO:01000342	montane
CHEBI:32952	amine	http://aims.fao.org/aos/agrovoc/c_341	amines
CHEBI:32988	amide	http://aims.fao.org/aos/agrovoc/c_338	amides
CHEBI:33232	application	http://aims.fao.org/aos/agrovoc/c_331436	application
CHEBI:33281	antimicrobial agent	http://aims.fao.org/aos/agrovoc/c_92344	antimicrobial agents
CHEBI:33284	nutrient	http://aims.fao.org/aos/agrovoc/c_5274	nutrients
CHEBI:33286	agrochemical	http://aims.fao.org/aos/agrovoc/c_24430	agrochemicals
CHEBI:33287	fertilizer	http://aims.fao.org/aos/agrovoc/c_2862	fertility
CHEBI:33287	fertilizer	http://aims.fao.org/aos/agrovoc/c_2863	fertilization
CHEBI:33287	fertilizer	http://aims.fao.org/aos/agrovoc/c_2867	fertilizers
CHEBI:33292	fuel	http://aims.fao.org/aos/agrovoc/c_3136	fuels
CHEBI:33575	carboxylic acid	http://aims.fao.org/aos/agrovoc/c_27631	carboxylic acids
CHEBI:33653	aliphatic compound	http://aims.fao.org/aos/agrovoc/c_27446	aliphatic compounds
CHEBI:33655	aromatic compound	http://aims.fao.org/aos/agrovoc/c_622	aromatic compounds
CHEBI:33709	amino acid	http://aims.fao.org/aos/agrovoc/c_342	amino acids
CHEBI:33838	nucleoside	http://aims.fao.org/aos/agrovoc/c_5258	nucleosides
CHEBI:35195	surfactant	http://aims.fao.org/aos/agrovoc/c_7529	surfactants
CHEBI:35196	nitrogen oxide	http://aims.fao.org/aos/agrovoc/c_16002	nitrogen oxides
CHEBI:35209	label	http://aims.fao.org/aos/agrovoc/c_330899	labelling
CHEBI:35209	label	http://aims.fao.org/aos/agrovoc/c_330900	labels
CHEBI:35341	steroid	http://aims.fao.org/aos/agrovoc/c_7407	steroids
CHEBI:35366	fatty acid	http://aims.fao.org/aos/agrovoc/c_2818	fatty acids
